expeId	lang	config	col.3-4	crfpp.algo	crfpp.cost	crfpp.minfreq	crftool	labels	pattern.singleNGramSize	wapiti.algo	wapiti.sparse	level	perf
expe	BG	030	2:2:0:0:C	CRF	1.0	1	crf++	IO	0	l-bfgs	0	Tok	0.5362
expe	BG	030	2:2:0:0:C	CRF	1.0	1	crf++	IO	0	l-bfgs	0	MWE	0.3082
expe	BG	031	2:2:0:0:C	CRF	1.0	1	crf++	BIO	0	l-bfgs	0	Tok	0.5823
expe	BG	031	2:2:0:0:C	CRF	1.0	1	crf++	BIO	0	l-bfgs	0	MWE	0.3870
expe	BG	032	2:2:0:0:C	CRF	1.0	1	crf++	BILOU	0	l-bfgs	0	Tok	0.5791
expe	BG	032	2:2:0:0:C	CRF	1.0	1	crf++	BILOU	0	l-bfgs	0	MWE	0.3892
expe	BG	033	2:2:0:0:C	CRF	1.0	1	wapiti	IO	0	l-bfgs	0	MWE	0.2843
expe	BG	033	2:2:0:0:C	CRF	1.0	1	wapiti	IO	0	l-bfgs	0	Tok	0.5270
expe	BG	034	2:2:0:0:C	CRF	1.0	1	wapiti	BIO	0	l-bfgs	0	Tok	0.5804
expe	BG	034	2:2:0:0:C	CRF	1.0	1	wapiti	BIO	0	l-bfgs	0	MWE	0.3903
expe	BG	035	2:2:0:0:C	CRF	1.0	1	wapiti	BILOU	0	l-bfgs	0	MWE	0.3969
expe	BG	035	2:2:0:0:C	CRF	1.0	1	wapiti	BILOU	0	l-bfgs	0	Tok	0.6073
expe	BG	036	2:2:1:1:C	CRF	1.0	1	crf++	IO	0	l-bfgs	0	MWE	0.4773
expe	BG	036	2:2:1:1:C	CRF	1.0	1	crf++	IO	0	l-bfgs	0	Tok	0.5825
expe	BG	037	2:2:1:1:C	CRF	1.0	1	crf++	BIO	0	l-bfgs	0	MWE	0.5986
expe	BG	037	2:2:1:1:C	CRF	1.0	1	crf++	BIO	0	l-bfgs	0	Tok	0.6539
expe	BG	038	2:2:1:1:C	CRF	1.0	1	crf++	BILOU	0	l-bfgs	0	Tok	0.6590
expe	BG	038	2:2:1:1:C	CRF	1.0	1	crf++	BILOU	0	l-bfgs	0	MWE	0.6043
expe	BG	039	2:2:1:1:C	CRF	1.0	1	wapiti	IO	0	l-bfgs	0	Tok	0.5812
expe	BG	039	2:2:1:1:C	CRF	1.0	1	wapiti	IO	0	l-bfgs	0	MWE	0.4688
expe	BG	040	2:2:1:1:C	CRF	1.0	1	wapiti	BIO	0	l-bfgs	0	Tok	0.6529
expe	BG	040	2:2:1:1:C	CRF	1.0	1	wapiti	BIO	0	l-bfgs	0	MWE	0.5952
expe	BG	041	2:2:1:1:C	CRF	1.0	1	wapiti	BILOU	0	l-bfgs	0	MWE	0.5886
expe	BG	041	2:2:1:1:C	CRF	1.0	1	wapiti	BILOU	0	l-bfgs	0	Tok	0.6464
expe	BG	042	3:1:0:0:C	CRF	1.0	1	crf++	IO	0	l-bfgs	0	MWE	0.4004
expe	BG	042	3:1:0:0:C	CRF	1.0	1	crf++	IO	0	l-bfgs	0	Tok	0.5619
expe	BG	043	3:1:0:0:C	CRF	1.0	1	crf++	BIO	0	l-bfgs	0	MWE	0.4933
expe	BG	043	3:1:0:0:C	CRF	1.0	1	crf++	BIO	0	l-bfgs	0	Tok	0.6213
expe	BG	044	3:1:0:0:C	CRF	1.0	1	crf++	BILOU	0	l-bfgs	0	MWE	0.5027
expe	BG	044	3:1:0:0:C	CRF	1.0	1	crf++	BILOU	0	l-bfgs	0	Tok	0.6278
expe	BG	045	3:1:0:0:C	CRF	1.0	1	wapiti	IO	0	l-bfgs	0	MWE	0.0000
expe	BG	045	3:1:0:0:C	CRF	1.0	1	wapiti	IO	0	l-bfgs	0	Tok	0.0056
expe	BG	046	3:1:0:0:C	CRF	1.0	1	wapiti	BIO	0	l-bfgs	0	Tok	0.0056
expe	BG	046	3:1:0:0:C	CRF	1.0	1	wapiti	BIO	0	l-bfgs	0	MWE	0.0000
expe	BG	047	3:1:0:0:C	CRF	1.0	1	wapiti	BILOU	0	l-bfgs	0	MWE	0.4788
expe	BG	047	3:1:0:0:C	CRF	1.0	1	wapiti	BILOU	0	l-bfgs	0	Tok	0.6231
